1, a, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, west
3, a, north
3, a, east
4, a, east
5, a, east
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, west
3, a, north
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, d, north
1, a, north
1, a, north
1, b, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, c, north
3, d, north
1, a, north
1, a, north
1, b, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, c, north
3, d, north
1, a, north
1, a, north
1, b, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, east
3, c, east
3, c, south
3, c, west
3, c, north
3, c, north
3, d, north
